iter	Passed	Remaining
393	295526	7205138
394	296216	7202946
395	296915	7200960
396	297635	7199484
397	298394	7198960
398	299087	7196828
399	299784	7194819
400	300478	7192753
401	301181	7190906
402	301936	7190291
403	302694	7189751
404	303483	7189929
405	304227	7189063
406	304941	7187488
407	305628	7185263
408	306311	7182976
409	307008	7180999
410	307713	7179239
411	308413	7177342
412	309131	7175890
413	309825	7173873
414	310504	7171531
415	311195	7169455
416	311896	7167639
417	312631	7166591
418	313336	7164858
419	314016	7162560
420	314727	7160974
421	315429	7159207
422	316161	7158108
423	316912	7157441
424	317655	7156586
425	318362	7154943
426	319052	7152904
427	319783	7151801
428	320538	7151218
429	321311	7151057
430	322045	7150000
431	322788	7149169
432	323533	7148371
433	324317	7148434
434	325161	7149816
435	325901	7148897
436	326588	7146821
437	327274	7144750
438	327972	7142920
439	328666	7141031
440	329409	7140195
441	330107	7138393
442	330839	7137330
443	331522	7135201
444	332202	7133027
445	332878	7130770
446	333553	7128498
447	334255	7126795
448	334937	7124688
449	335627	7122753
450	336327	7121046
451	337063	7120101
452	337836	7119926
453	338592	7119393
454	339282	7117468
455	339959	7115300
456	340665	7113725
457	341403	7112827
458	342085	7110760
459	342766	7108669
460	343463	7106933
461	344151	7105017
462	344853	7103377
463	345516	7100965
464	346199	7098960
465	346897	7097258
466	347665	7097001
467	348426	7096574
468	349237	7097192
469	350019	7097211
470	350763	7096449
471	351506	7095674
472	352282	7095544
473	352968	7093632
474	353688	7092381
475	354425	7091481
476	355111	7089566
477	355778	7087291
478	356466	7085420
479	357167	7083824
480	357846	7081789
481	358555	7080354
482	359269	7079030
483	360008	7078190
484	360735	7077106
485	361460	7075998
486	362177	7074730
487	362880	7073189
488	363543	7070887
489	364215	7068745
490	364877	7066435
491	365558	7064483
492	366257	7062895
493	366924	7060699
494	367622	7059098
495	368336	7057798
496	369011	7055761
497	369723	7054440
498	370390	7052260
499	371067	7050290
500	371738	7048194
501	372434	7046576
502	373142	7045195
503	373820	7043249
504	374493	7041217
505	375154	7038966
506	375831	7037022
507	376489	7034728
508	377158	7032629
509	377848	7030940
510	378543	7029349
511	379244	7027865
512	379938	7026277
513	380621	7024466
514	381292	7022449
515	382007	7021243
516	382694	7019516
517	383412	7018372
518	384161	7017799
519	384876	7016598
520	385606	7015675
521	386303	7014155
522	387050	7013527
523	387782	7012641
524	388496	7011431
525	389166	7009440
526	389839	7007493
527	390516	7005633
528	391183	7003593
529	391903	7002494
530	392622	7001397
531	393346	7000386
532	394089	6999707
533	394820	6998816
534	395517	6997338
535	396213	6995830
536	396913	6994391
537	397598	6992713
538	398283	6991018
539	398956	6989127
540	399631	6987269
541	400323	6985723
542	401022	6984295
543	401688	6982289
544	402412	6981307
545	403124	6980114
546	403803	6978349
547	404474	6976453
548	405152	6974681
549	405823	6972786
550	406503	6971057
551	407193	6969497
552	407909	6968391
553	408580	6966525
554	409275	6965059
555	409988	6963903
556	410660	6962057
557	411346	6960452
558	412021	6958668
559	412734	6957519
560	413446	6956374
561	414211	6956104
562	414950	6955389
563	415632	6953740
564	416312	6952050
565	416977	6950112
566	417703	6949203
567	418442	6948499
568	419196	6948049
569	419880	6946438
570	420563	6944829
571	421276	6943690
572	421967	6942209
573	422647	6940545
574	423337	6939051
575	424007	6937230
576	424689	6935621
577	425361	6933826
578	426029	6931985
579	426719	6930514
580	427397	6928835
581	428127	6928013
582	428827	6926696
583	429495	6924872
584	430165	6923098
585	430854	6921611
586	431533	6919976
587	432214	6918365
588	432892	6916722
589	433570	6915084
590	434251	6913485
591	434936	6911960
592	435651	6910915
593	436337	6909406
594	437078	6908783
595	437837	6908422
596	438601	6908154
597	439357	6907763
598	440113	6907364
599	440921	6907762
600	441645	6906862
601	442370	6905972
602	443128	6905606
603	443853	6904721
604	444540	6903237
605	445229	6901793
606	445911	6900242
607	446592	6898676
608	447276	6897169
609	447970	6895812
610	448653	6894286
611	449352	6893013
612	450057	6891819
613	450734	6890216
614	451425	6888820
615	452131	6887658
616	452890	6887317
617	453637	6886782
618	454433	6886979
619	455169	6886279
620	455872	6885068
621	456574	6883850
622	457280	6882697
623	457988	6881565
624	458679	6880194
625	459385	6879045
626	460051	6877286
627	460721	6875613
628	461407	6874169
629	462148	6873537
630	462849	6872321
631	463549	6871096
632	464269	6870165
633	464946	6868600
634	465665	6867651
635	466367	6866460
636	467051	6864998
637	467721	6863334
638	468423	6862146
639	469136	6861126
640	469810	6859528
641	470506	6858261
642	471222	6857283
643	471946	6856413
644	472631	6854982
645	473387	6854588
646	474114	6853772
647	474799	6852349
648	475488	6850991
649	476193	6849853
650	476899	6848747
651	477656	6848361
652	478509	6849349
653	479322	6849771
654	480086	6849480
655	480803	6848521
656	481522	6847583
657	482259	6846918
658	482922	6845185
659	483584	6843452
660	484259	6841900
661	484967	6840823
662	485686	6839906
663	486428	6839299
664	487173	6838746
665	487912	6838105
666	488621	6837043
667	489324	6835896
668	490004	6834422
669	490156	6825612
670	490859	6824488
671	491535	6822987
672	492259	6822141
673	492930	6820584
674	493599	6818979
675	494275	6817487
676	494937	6815813
677	495600	6814144
678	496273	6812609
679	496952	6811168
680	497706	6810754
681	498442	6810103
682	499188	6809577
683	499910	6808728
684	500592	6807329
685	501272	6805908
686	501949	6804453
687	502624	6802959
688	503307	6801593
689	504008	6800469
690	504793	6800468
691	505546	6800033
692	506282	6799381
693	506966	6798021
694	507643	6796581
695	507971	6790470
696	508669	6789314
697	509345	6787867
698	510019	6786391
699	510709	6785137
700	511381	6783647
701	512074	6782431
702	512778	6781368
703	513481	6780291
704	514216	6779635
705	514946	6778914
706	515672	6778136
707	516383	6777169
708	517124	6776588
709	517814	6775349
710	518513	6774218
711	519209	6773062
712	519919	6772078
713	520605	6770793
714	521394	6770839
715	522198	6771082
716	522931	6770400
717	523630	6769276
718	524312	6767939
719	524992	6766563
720	525682	6765330
721	526370	6764075
722	527127	6763715
723	527856	6762978
724	528574	6762103
725	529275	6761015
726	529989	6760097
727	530675	6758816
728	531362	6757563
729	532065	6756499
730	532762	6755370
731	533460	6754253
732	534181	6753419
733	534863	6752106
734	535537	6750689
735	536211	6749269
736	536894	6747966
737	537588	6746802
738	538258	6745343
739	538920	6743790
740	539619	6742699
741	540315	6741558
742	541021	6740560
743	541704	6739275
744	542372	6737794
745	543070	6736696
746	543773	6735661
747	544456	6734376
748	545137	6733065
749	545818	6731766
750	546517	6730679
751	547211	6729535
752	547931	6728712
753	548591	6727159
754	549243	6725508
755	549955	6724582
756	550672	6723738
757	551402	6723037
758	552114	6722126
759	552949	6722707
760	553675	6721960
761	554448	6721776
762	555149	6720729
763	555811	6719203
764	556500	6718010
765	557183	6716754
766	557834	6715108
767	558504	6713694
768	559172	6712248
769	559848	6710916
770	560533	6709679
771	561246	6708791
772	561320	6700259
773	562016	6699178
774	562700	6697956
775	563403	6696946
776	564080	6695640
777	564760	6694371
778	565450	6693224
779	566136	6692024
780	566840	6691045
781	567555	6690186
782	568301	6689702
783	568997	6688619
784	569692	6687533
785	570372	6686269
786	571064	6685155
787	571756	6684034
788	572415	6682537
789	573097	6681298
790	573784	6680127
791	574486	6679133
792	575196	6678229
793	575880	6677020
794	576546	6675612
795	577228	6674387
796	577925	6673333
797	578597	6671992
798	579273	6670712
799	579974	6669706
800	580665	6668591
801	581001	6663410
802	581705	6662445
803	582396	6661345
804	583061	6659940
805	583734	6658631
806	584424	6657510
807	585096	6656200
808	585768	6654882
809	586447	6653649
810	587123	6652379
811	587816	6651302
812	588528	6650440
813	589223	6649398
814	589913	6648285
815	590604	6647200
816	591298	6646140
817	591991	6645067
818	592689	6644055
819	593394	6643120
820	594162	6642899
821	594912	6642464
822	595662	6642030
823	596404	6641519
824	597136	6640885
825	597830	6639832
826	598511	6638632
827	599198	6637498
828	599896	6636492
829	600593	6635471
830	601271	6634240
831	601961	6633154
832	602644	6631978
833	603342	6630976
834	604091	6630534
835	604848	6630178
836	605551	6629233
837	606261	6628358
838	606952	6627282
839	607659	6626383
840	608357	6625386
841	609050	6624332
842	609726	6623086
843	610407	6621913
844	611088	6620728
845	611790	6619770
846	612482	6618718
847	613178	6617696
848	613911	6617079
849	614653	6616567
850	615351	6615573
851	616097	6615091
852	616892	6615137
853	617635	6614635
854	618399	6614345
855	618747	6609610
856	619471	6608902
857	620201	6608257
858	620910	6607384
859	621608	6606400
860	622286	6605196
861	623003	6604414
862	623714	6603571
863	624408	6602542
864	625100	6601496
865	625901	6601603
866	626585	6600466
867	627280	6599458
868	627990	6598600
869	628691	6597642
870	629390	6596678
871	630131	6596150
872	630885	6595748
873	631575	6594690
874	632274	6593717
875	632952	6592534
876	633691	6591980
877	634450	6591639
878	635229	6591497
879	635960	6590863
880	636688	6590200
881	637384	6589196
882	638100	6588407
883	638807	6587526
884	639500	6586489
885	640224	6585780
886	640930	6584896
887	641656	6584202
888	642361	6583304
889	643048	6582211
890	643768	6581462
891	644468	6580515
892	645177	6579653
893	645854	6578465
894	646619	6578175
895	647338	6577426
896	648035	6576436
897	648738	6575518
898	649413	6574319
899	650086	6573098
900	650763	6571917
901	651476	6571098
902	652209	6570482
903	652880	6569248
904	653570	6568199
905	654245	6567008
906	654907	6565684
907	655048	6559146
908	655705	6557779
909	656384	6556632
910	657096	6555815
911	657783	6554750
912	658499	6553979
913	659206	6553119
914	659896	6552088
915	660565	6550844
916	661230	6549569
917	661916	6548504
918	662580	6547218
919	663236	6545855
920	663916	6544732
921	664637	6544013
922	665407	6543776
923	666093	6542711
924	666818	6542030
925	667240	6538378
926	667991	6537953
927	668732	6537438
928	669450	6536694
929	670148	6535749
930	670926	6535589
931	671711	6535491
932	672643	6536829
933	673341	6535883
934	673662	6531282
935	674349	6530243
936	675011	6528954
937	675693	6527858
938	676383	6526845
939	677070	6525803
940	677747	6524666
941	678441	6523702
942	679152	6522888
943	679838	6521836
944	680511	6520664
945	681194	6519595
946	681875	6518495
947	682538	6517239
948	683235	6516295
949	683916	6515202
950	684601	6514155
951	685307	6513303
952	686009	6512408
953	686697	6511388
954	687373	6510250
955	688085	6509464
956	688767	6508380
957	689478	6507587
958	690223	6507098
959	690931	6506274
960	691619	6505255
961	692362	6504755
962	693095	6504159
963	693796	6503258
964	694493	6502327
965	695193	6501429
966	695875	6500358
967	696552	6499237
968	696908	6495129
969	697590	6494063
970	698274	6493020
971	698960	6491992
972	699659	6491082
973	700335	6489970
974	701042	6489140
975	701746	6488279
976	702445	6487376
977	703117	6486225
978	703812	6485282
979	704531	6484567
980	705271	6484043
981	705948	6482935
982	706647	6482031
983	707331	6480996
984	708006	6479873
985	708683	6478778
986	709349	6477576
987	710023	6476446
988	710682	6475189
989	711351	6474014
990	712017	6472817
991	712706	6471835
992	713402	6470915
993	714101	6470015
994	714426	6465739
995	715101	6464628
996	715769	6463464
997	716441	6462331
998	717115	6461214
999	717791	6460121
1000	718457	6458936
1001	719153	6458028
1002	719861	6457219
1003	720537	6456131
1004	721231	6455200
1005	721573	6451122
1006	722244	6449995
1007	722917	6448887
1008	723604	6447899
1009	724014	6444446
1010	724702	6443472
1011	725410	6442676
1012	726120	6441901
1013	726811	6440955
1014	727490	6439903
1015	728159	6438762
1016	728824	6437588
1017	729504	6436551
1018	730167	6435359
1019	730836	6434228
1020	731506	6433100
1021	732204	6432223
1022	732925	6431550
1023	733615	6430595
1024	734298	6429593
1025	734980	6428569
1026	735665	6427581
1027	736360	6426680
1028	737076	6425958
1029	737782	6425152
1030	738469	6424183
1031	739211	6423689
1032	739941	6423097
1033	740626	6422109
1034	741339	6421365
1035	742006	6420217
1036	742693	6419246
1037	743418	6418607
1038	744131	6417865
1039	744812	6416846
1040	745525	6416106
1041	746213	6415148
1042	746906	6414228
1043	746931	6407585
1044	747611	6406561
1045	748302	6405641
1046	748328	6399027
1047	749012	6398057
1048	749352	6394143
1049	750028	6393096
1050	750710	6392107
1051	751396	6391153
1052	752098	6390339
1053	752818	6389670
1054	753514	6388804
1055	753669	6383351
1056	753738	6377181
1057	754423	6376233
1058	755133	6375498
1059	755841	6374738
1060	756183	6370898
1061	756937	6370533
1062	757692	6370179
1063	758359	6369078
1064	759024	6367965
1065	759749	6367356
1066	760416	6366263
1067	761093	6365246
1068	761777	6364294
1069	762465	6363380
1070	763142	6362370
1071	763848	6361605
1072	764549	6360795
1073	765222	6359757
1074	765887	6358650
1075	766566	6357660
1076	767242	6356639
1077	767907	6355535
1078	768599	6354657
1079	769280	6353687
1080	769973	6352815
1081	770663	6351920
1082	771373	6351191
1083	772064	6350301
1084	772734	6349244
1085	772801	6343236
1086	773473	6342196
1087	774176	6341413
1088	774864	6340515
1089	775557	6339646
1090	776312	6339291
1091	776995	6338347
1092	777702	6337596
1093	778374	6336567
1094	779091	6335899
1095	779797	6335139
1096	780469	6334113
1097	781157	6333210
1098	781922	6332930
1099	782628	6332176
1100	783328	6331374
1101	784022	6330520
1102	784717	6329676
1103	785398	6328714
1104	786077	6327743
1105	786760	6326805
1106	787429	6325758
1107	788105	6324759
1108	788779	6323751
1109	789455	6322755
1110	790133	6321779
1111	790821	6320878
1112	791612	6320808
1113	792305	6319954
1114	793016	6319242
1115	793718	6318454
1116	794407	6317567
1117	795106	6316756
1118	795806	6315961
1119	796515	6315230
1120	797190	6314232
1121	797883	6313374
1122	798596	6312680
1123	799270	6311673
1124	799956	6310768
1125	800627	6309742
1126	800958	6306039
1127	801618	6304931
1128	802283	6303861
1129	802958	6302872
1130	803641	6301944
1131	804322	6300996
1132	805014	6300147
1133	805735	6299515
1134	806411	6298534
1135	807084	6297533
1136	807797	6296841
1137	808471	6295847
1138	809175	6295088
1139	809875	6294294
1140	810580	6293539
1141	810741	6288572
1142	811464	6287960
1143	812206	6287503
1144	812892	6286607
1145	813588	6285788
1146	814251	6284716
1147	814938	6283832
1148	815618	6282887
1149	815633	6276828
1150	816311	6275881
1151	817008	6275082
1152	817724	6274421
1153	818411	6273540
1154	819112	6272766
1155	819815	6272017
1156	820504	6271152
1157	821194	6270296
1158	821923	6269741
1159	822676	6269359
1160	823511	6269612
1161	824240	6269051
