iter	MultiClass
0	2.421419841
1	2.356093982
2	2.2934936
3	2.239987209
4	2.182499803
5	2.126584829
6	2.081013154
7	2.030911858
8	1.98520764
9	1.940843756
10	1.902361138
11	1.86072465
12	1.823312026
13	1.788823126
14	1.75746628
15	1.723356498
16	1.69072501
17	1.659528008
18	1.626260939
19	1.596857433
20	1.568289046
21	1.5398796
22	1.512894017
23	1.485517019
24	1.460530723
25	1.438607769
26	1.413267985
27	1.391317126
28	1.370438171
29	1.34893737
30	1.326972273
31	1.30679714
32	1.286353558
33	1.266825996
34	1.247134123
35	1.227926673
36	1.210820531
37	1.192632801
38	1.175833934
39	1.159491346
40	1.143139019
41	1.12730984
42	1.111842174
43	1.096973142
44	1.082170452
45	1.066967694
46	1.051737493
47	1.037747185
48	1.023894305
49	1.009683457
50	0.9957037869
51	0.9830949289
52	0.9706763139
53	0.9585502495
54	0.9466783606
55	0.9336814577
56	0.9213531756
57	0.9094133202
58	0.8986471736
59	0.8876565868
60	0.8769704622
61	0.8654173929
62	0.8553676288
63	0.8450978014
64	0.8344103861
65	0.824190432
66	0.814495607
67	0.8046451648
68	0.7952513708
69	0.7859401232
70	0.7763070154
71	0.7672219815
72	0.7576916241
73	0.7493024115
74	0.7405243107
75	0.7320638073
76	0.722940388
77	0.7143021421
78	0.7058471238
79	0.6977429965
80	0.6902193901
81	0.6823172718
82	0.6750741342
83	0.667598832
84	0.6599779999
85	0.6528321498
86	0.6461441684
87	0.6394344182
88	0.632370019
89	0.6256143308
90	0.6192277399
91	0.6123768775
92	0.6056615662
93	0.5995749735
94	0.5931221354
95	0.5869609563
96	0.5803916731
97	0.5740794491
98	0.5679547229
99	0.5622441067
100	0.5560825345
101	0.5504101612
102	0.5446541565
103	0.5391981041
104	0.5337380052
105	0.5281273999
106	0.5229305279
107	0.5177981842
108	0.5123865552
109	0.5071420261
110	0.5017485591
111	0.4968057496
112	0.4917769409
113	0.4869559506
114	0.4820056852
115	0.4771283387
116	0.472261667
117	0.4678092815
118	0.4632241059
119	0.458823221
120	0.4542558231
121	0.4498880942
122	0.4457706096
123	0.4415977784
124	0.4373189106
125	0.4333042414
126	0.4294249272
127	0.4254027113
128	0.4213953845
129	0.417258622
130	0.4134807215
131	0.4096880875
132	0.4060311814
133	0.402015304
134	0.3981474747
135	0.3942929305
136	0.3908366538
137	0.3872944759
138	0.3835760026
139	0.3799257616
140	0.3763419069
141	0.3728049759
142	0.3692679879
143	0.3659410522
144	0.362435713
145	0.3589228679
146	0.3555110366
147	0.3521897645
148	0.3488398741
149	0.3457029468
150	0.3423307064
151	0.3392679091
152	0.3360944852
153	0.3330728044
154	0.3302185693
155	0.3271553141
156	0.3243377706
157	0.3213871481
158	0.3185213979
159	0.315568327
160	0.3127851339
161	0.3101224283
162	0.307277489
163	0.3044535609
164	0.301674679
165	0.2989215269
166	0.296400337
167	0.2938086207
168	0.2913936499
169	0.2889104279
170	0.2864967376
171	0.2839470482
172	0.2816560416
173	0.2791968849
174	0.276835055
175	0.274496668
176	0.272171125
177	0.2699113346
178	0.2676001383
179	0.2653027442
180	0.2631384398
181	0.2610178376
182	0.2589492686
183	0.2566969631
184	0.2545094819
185	0.2524538862
186	0.2503126548
